permit_type,accela,name,address_no,address_st,bo,zip,inspection_date,inspection_year,inspection_type,all_violations,phh_violations,critical_violations,general_violations,docket,lat,long,BIN,NTA,NTAcode
Outdoor,41491692,52 EAST 4TH STREET CONDOMINIUM,52,EAST 4 STREET,MA,10003,8/10/2021,2021,Routine Inspection,12,5,4,3,,40.72687414,-73.99107401,1006566,East Village,MN22
Indoor,41576475,SPA 88 LLC,88,FULTON STREET,MA,10038,1/8/2020,2020,Routine Inspection,9,5,2,2,00448-20S0,40.70929135,-74.00594428,1077403,Battery Park City-Lower Manhattan,MN25
Outdoor,40787327,OCEANA HOMEOWNERS ASSOCIATION,3205,CONEY ISLAND AVENUE,BK,11235,8/19/2019,2019,Routine Inspection,8,3,1,4,16120-19S0,40.5775898,-73.95959558,,Brighton Beach,BK19
Indoor,40425828,Y.M.C.A. OF NEW YORK,651,BROADWAY,SI,10310,10/2/2019,2019,Routine Inspection,8,1,4,3,19100-19S0,40.62492869,-74.11424613,5008326,New Brighton-Silver Lake,SI35
Outdoor,40426105,DONALD-BETTY LENTNEK/GRECIAN GARDEN,3030,EMMONS AVENUE,BK,11235,8/15/2021,2021,Routine Inspection,7,3,2,2,,40.58391231,-73.93788633,3248031,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Indoor,41576475,SPA 88 LLC,88,FULTON STREET,MA,10038,1/2/2019,2019,Routine Inspection,6,3,3,0,00060-19S0,40.70929135,-74.00594428,1077403,Battery Park City-Lower Manhattan,MN25
Indoor,40425420,THE RIVER CLUB OF NEW YORK INC,447,EAST 52 STREET,MA,10022,4/4/2019,2019,Routine Inspection,6,1,3,2,06632-19S0,40.75468158,-73.96418362,1040155,Turtle Bay-East Midtown,MN19
Indoor,41430177,FITMAR MANAGEMENT LLC,1500,PAERDEGAT AVENUE NORTH,BK,11236,4/8/2019,2019,Routine Inspection,6,2,3,1,06843-19S0,40.62729679,-73.90289418,3343625,Canarsie,BK50
Indoor,50040041,B3ACQ LLC,139,WEST 32 STREET,MA,10001,6/18/2019,2019,Routine Inspection,6,2,3,1,11869-19S0,40.74901605,-73.98990889,1015191,Midtown-Midtown South,MN17
Indoor,40425461,ST. FRANCIS COLLEGE,180,REMSEN STREET,BK,11201,6/28/2019,2019,Routine Inspection,6,1,2,3,12710-19S0,40.69326997,-73.99158698,3335934,Brooklyn Heights-Cobble Hill,BK09
Outdoor,40426042,DAVID SILVERSTEIN ET AL,415,STRATFORD ROAD,BK,11218,8/20/2019,2019,Routine Inspection,6,2,4,0,16219-19S0,40.63843878,-73.96768002,3118631,Flatbush,BK42
