month,year,congressional_voting_district,una,dem,rep,cnv,con,gre,lib,nat,rfp,ssp,total
january,2021,1,"200,100","260,314","100,784","1,564","1,524","1,094","1,749",629,184,777,"568,719"
january,2021,2,"202,039","175,719","158,141","1,600","1,691","1,037","1,834",675,204,841,"543,781"
january,2021,3,"213,783","187,057","172,373","1,406","1,418","1,073","1,857",557,139,660,"580,323"
january,2021,4,"230,617","154,214","178,100","1,364","1,265",992,"1,650",555,138,560,"569,455"
january,2021,5,"221,666","184,980","167,874","1,210","1,073",921,"1,668",437,103,420,"580,352"
january,2021,6,"200,454","203,086","86,617","1,436","1,673",969,"1,535",642,167,743,"497,322"
january,2021,7,"223,548","187,736","177,467","1,017",941,830,"1,751",357,86,393,"594,126"
january,2021,8,"155,232","237,133","43,037","1,323","1,474",855,"1,407",558,220,686,"441,925"
january,2021,9,"187,030","214,953","74,018","1,624","1,468",985,"1,455",636,210,697,"483,076"
january,2021,10,"178,331","303,568","31,051","1,345","1,754",895,"1,090",707,239,800,"519,780"
january,2021,11,"222,893","190,695","182,875","1,032",923,796,"1,564",360,95,404,"601,637"
january,2021,12,"202,188","238,467","85,218","1,395","1,530","1,031","1,488",622,173,681,"532,793"
february ,2021,1,"199,875","260,163","100,733","1,567","1,532","1,094","1,770",637,186,776,"568,333"
february ,2021,2,"202,103","176,255","158,893","1,598","1,721","1,053","1,873",684,209,853,"545,242"
february ,2021,3,"214,956","187,879","172,552","1,439","1,434","1,073","1,894",569,140,669,"582,605"
february ,2021,4,"230,725","154,240","177,748","1,377","1,280",994,"1,674",556,141,563,"569,298"
february ,2021,5,"221,271","185,816","168,324","1,208","1,071",921,"1,706",432,103,420,"581,272"
february ,2021,6,"201,242","203,506","87,015","1,422","1,643",963,"1,548",633,166,731,"498,869"
february ,2021,7,"219,739","185,970","175,227","1,018",936,827,"1,759",354,86,394,"586,310"
february ,2021,8,"151,431","235,114","43,190","1,319","1,463",852,"1,413",549,223,669,"436,223"
february ,2021,9,"185,905","215,910","74,976","1,614","1,449",987,"1,459",626,210,698,"483,834"
february ,2021,10,"172,703","302,757","30,857","1,339","1,728",886,"1,105",695,235,789,"513,094"
february ,2021,11,"223,553","191,565","183,007","1,025",912,809,"1,596",350,91,397,"603,305"
february ,2021,12,"202,354","237,787","85,388","1,390","1,508","1,029","1,518",615,168,686,"532,443"
march,2021,1,"199,314","259,465","100,447","1,563","1,531","1,099","1,779",640,184,773,"566,795"
march,2021,2,"199,730","176,144","158,259","1,589","1,705","1,053","1,861",692,210,838,"542,081"
